X,Y
0,7318.032
1,7425.793
2,7414.333
3,7482.873
4,7516.635
5,7544.603
6,7429.207
7,7486.413
8,7471.635
9,7493.952
10,7594.793
11,7789.111
12,7900.000
13,8219.937
14,9139.460
15,10128.968
16,11454.350
17,14148.571
18,21870.064
19,37320.383
20,50344.730
21,55529.191
22,56885.207
23,57637.777
24,58170.254
25,58191.238
26,58180.145
27,58124.871
28,58118.602
29,58090.383
30,58196.031
31,58156.285
32,58324.684
33,58388.078
34,58199.523
35,58177.938
36,58135.637
37,58220.301
38,58265.523
39,58326.617
40,58380.348
41,58383.555
42,58601.270
43,58797.508
44,58877.539
45,59066.445
46,58772.000
47,58722.508
48,57068.570
49,48658.699
50,30988.381
51,16507.604
52,12097.730
53,10995.270
54,10232.223
55,9566.396
56,8564.937
57,7990.190
58,7980.508
59,7701.810
60,7712.889
61,7802.667
62,7818.730
63,8072.841
64,8105.048
65,8057.746
66,8103.032
67,8068.444
68,8088.254
69,8157.873
70,8102.984
71,8122.841
72,8221.206
73,8302.223
74,8354.477
75,8247.096
76,8383.937
77,8283.794
78,8331.317
79,8289.698
80,8036.556
81,8125.492
82,8315.270
83,8448.968
84,9301.016
85,10146.206
86,11095.302
87,13151.254
88,17967.016
89,31288.143
90,47711.855
91,56461.445
92,58829.461
93,59578.586
94,59905.145
95,60036.777
96,59960.332
97,59795.523
98,59666.809
99,59567.383
100,59534.492
101,59550.383
102,59591.461
103,59746.031
104,59807.809
105,59803.062
106,59925.160
107,59830.539
108,59917.383
109,59837.699
110,59820.254
111,59703.523
112,59844.191
113,59938.207
114,59871.746
115,60052.840
116,59909.953
117,59772.398
118,59339.699
119,55505.824
120,42407.809
121,23932.730
122,13836.460
123,11154.540
124,9598.492
125,8821.619
126,8313.396
127,7690.635
128,7574.603
129,7600.302
130,7559.667
131,7641.762
132,7768.587
133,7801.810
134,7982.460
135,7951.540
136,7925.508
137,7957.190
138,8039.476
139,8089.143
140,8130.063
141,8110.238
