X,Y
0,7351.367
1,7610.571
2,7690.449
3,7645.775
4,7430.082
5,7393.694
6,7767.816
7,8390.102
8,9326.326
9,10075.021
10,10700.714
11,11294.979
12,12229.959
13,13413.653
14,14615.653
15,15959.367
16,17552.592
17,20274.143
18,25627.184
19,34029.633
20,43210.715
21,50713.652
22,55575.551
23,58402.961
24,59747.184
25,60122.000
26,59761.570
27,58487.613
28,55967.469
29,50835.082
30,42199.898
31,31080.000
32,20808.266
33,14743.184
34,12470.714
35,11972.490
36,11542.041
37,10944.796
38,10228.408
39,9864.347
40,9562.674
41,8949.429
42,8045.735
43,7343.959
44,7308.694
45,7857.837
46,8699.775
47,9331.408
48,9841.898
49,10374.959
50,11619.429
51,13513.000
52,15512.959
53,16908.490
54,18203.734
55,21040.307
56,26432.184
57,34911.512
58,44005.594
59,51324.695
60,56050.305
61,58472.305
62,59761.633
63,60026.938
64,59368.570
65,57723.594
66,54707.328
67,48780.121
68,40348.039
69,29019.797
70,19582.836
71,13942.653
72,11834.184
73,11023.204
74,10475.938
75,9814.714
76,9427.938
77,9436.918
78,9141.857
79,8491.184
80,7789.735
81,7369.490
82,7452.143
