X,Y
0,8025.550
1,7775.450
2,7889.100
3,7945.300
4,7770.525
5,7982.125
6,7907.600
7,7658.400
8,7828.725
9,7824.600
10,7949.475
11,8966.575
12,10196.625
13,11314.650
14,13757.575
15,17030.725
16,20861.475
17,30902.400
18,47043.875
19,57170.898
20,59716.250
21,59678.176
22,59374.148
23,59089.949
24,58679.750
25,58683.023
26,58518.699
27,58416.574
28,58465.773
29,58429.875
30,58271.398
31,58250.051
32,58125.875
33,58158.898
34,57981.699
35,57973.801
36,57848.000
37,57902.625
38,57888.523
39,57846.699
40,57678.574
41,57843.875
42,57932.727
43,58020.301
44,58185.148
45,58678.699
46,58766.352
47,58824.250
48,59006.676
49,57611.273
50,49614.102
51,31844.551
52,16319.875
53,12049.400
54,11274.850
55,9945.025
56,9076.000
57,8119.575
58,7376.075
59,7316.750
60,7304.825
61,7255.225
62,7564.350
63,7430.650
64,7326.500
65,7473.550
66,7254.100
67,7292.100
68,7309.800
69,7152.300
70,7311.900
71,7122.725
72,7159.575
73,7219.650
74,7049.400
75,7177.200
76,7091.325
77,7113.625
78,7186.100
79,6921.650
80,7283.350
81,7237.375
82,6888.675
83,6933.375
84,7043.650
85,6969.275
86,7929.800
87,9496.025
88,10712.050
89,13273.800
90,16515.449
91,19916.400
92,29608.449
93,45449.199
94,55432.074
95,57747.227
96,57446.375
97,56824.676
98,56505.500
99,56194.602
100,55821.000
101,55791.727
102,55667.625
103,55552.051
104,55705.023
105,55713.676
106,55563.926
107,55612.000
108,55566.523
109,55673.301
110,55785.824
111,55608.801
112,55435.898
113,55518.875
114,55689.301
115,55458.801
116,55439.449
117,55596.949
118,55614.125
119,55840.176
120,56514.500
121,56829.477
122,56944.250
123,57543.602
124,56749.375
125,50196.000
126,33191.477
127,16408.051
128,11672.100
129,11069.750
130,9778.100
131,8698.625
132,7607.850
133,6782.650
134,6890.600
135,6963.925
136,6820.225
137,7050.400
138,7075.775
139,6953.275
140,7063.500
141,6951.500
